1,16,2.187857143,52.91
1,17,2.187857143,52.91
1,18,2.195714286,52.96
1,19,2.207857143,52.96
1,20,2.207857143,52.94
1,21,2.207857143,52.97
1,22,2.210714286,52.97
1,23,2.210714286,52.94
2,0,2.210714286,52.89
2,1,2.210714286,52.89
2,2,2.210714286,53
2,3,2.210714286,52.76
2,4,2.210714286,52.73
2,5,2.210714286,52.66
2,6,2.210714286,52.88
2,7,2.219285714,53.03
2,8,2.216428571,52.96
2,9,2.216428571,53
2,10,2.216428571,53.38
2,11,2.215714286,53.61
2,12,2.215714286,53.62
2,13,2.215714286,53.42
2,14,2.215714286,53.32
2,15,2.215714286,53.3
2,16,2.215714286,53.01
2,17,2.215714286,52.97
2,18,2.214285714,52.92
2,19,2.214285714,52.83
2,20,2.214285714,52.88
2,21,2.214285714,52.97
2,22,2.214285714,52.97
2,23,2.214285714,52.93
3,0,2.214285714,52.92
3,1,2.214285714,52.84
3,2,2.214285714,52.82
3,3,2.214285714,52.99
3,4,2.214285714,53
3,5,2.214285714,53.25
3,6,2.214285714,53.08
3,7,2.214285714,53.07
3,8,2.214285714,53.09
3,9,2.214285714,52.89
3,10,2.214285714,53.21
3,11,2.214285714,52.92
3,12,2.214285714,53.11
3,13,2.214285714,53.56
3,14,2.214285714,53.99
3,15,2.214285714,54.06
3,16,2.214285714,53.99
3,17,2.214285714,54.1
3,18,2.214285714,54.02
3,19,2.214285714,53.96
3,20,2.214285714,53.92
3,21,2.214285714,53.87
3,22,2.211538462,53.87
3,23,2.211538462,53.8
4,0,2.211538462,53.83
4,1,2.214285714,53.76
4,2,2.214285714,53.88
4,3,2.214285714,54.01
4,4,2.214285714,53.99
4,5,2.214285714,54.23
4,7,2.219285714,54.5
4,8,2.219285714,54.44
4,9,2.219285714,54.32
4,10,2.219285714,53.92
4,11,2.219285714,53.91
4,12,2.226923077,53.51
4,13,2.226923077,53.51
4,14,2.226153846,53.7
4,15,2.226153846,53.77
4,16,2.226153846,53.71
4,17,2.226153846,53.7
4,18,2.226153846,53.7
4,19,2.226153846,53.7
4,20,2.225384615,53.7
4,21,2.225384615,53.7
4,22,2.225384615,53.7
4,23,2.225384615,53.7
5,0,2.225384615,53.7
5,1,2.225384615,53.7
5,2,2.225384615,53.7
5,3,2.225384615,53.7
5,4,2.225384615,53.7
5,5,2.225384615,53.7
5,6,2.225384615,53.7
5,7,2.225384615,53.7
5,8,2.225384615,53.7
5,9,2.225384615,53.7
5,10,2.224615385,53.7
5,11,2.2225,53.7
5,12,2.2225,53.7
5,13,2.223846154,53.7
5,14,2.223846154,53.7
5,15,2.21,53.7
5,16,2.21,53.7
5,17,2.21,53.7
5,18,2.21,53.7
5,19,2.209285714,53.7
5,20,2.209285714,53.7
5,21,2.209285714,53.7
5,22,2.209285714,53.7
5,23,2.209285714,53.7
6,0,2.209285714,53.7
6,1,2.209285714,53.7
6,2,2.209285714,53.7
6,3,2.209285714,53.7
6,4,2.209285714,53.7
6,5,2.209285714,53.7
6,6,2.209285714,53.7
6,7,2.209285714,53.7
6,8,2.209285714,53.7
6,9,2.209285714,53.7
6,10,2.209285714,53.7
6,11,2.209285714,53.7
6,12,2.209285714,53.7
6,13,2.209285714,53.7
6,14,2.209285714,53.7
6,15,2.200714286,53.7
6,16,2.200714286,53.7
6,17,2.200714286,53.7
6,18,2.200714286,53.59
6,19,2.200714286,53.59
6,20,2.200714286,53.63
6,21,2.200714286,53.64
6,22,2.200714286,53.64
6,23,2.200714286,53.64
0,0,2.200714286,53.67
0,1,2.200714286,53.59
0,2,2.200714286,53.76
0,3,2.200714286,53.83
0,4,2.200714286,53.98
0,5,2.200714286,53.36
0,6,2.200714286,53.33
0,7,2.195714286,53.42
0,8,2.195714286,53.56
0,9,2.195714286,53.01
0,10,2.195714286,53.1
0,11,2.195714286,53.14
0,12,2.194285714,53.13
0,13,2.185384615,53.31
0,14,2.185384615,53.3
0,15,2.185384615,53.52
0,16,2.183846154,53.45
0,17,2.183846154,53.46
0,18,2.183846154,53.41
0,19,2.183846154,53.43
0,20,2.183846154,53.49
0,21,2.186428571,53.48
0,22,2.184285714,53.48
0,23,2.184285714,53.33
1,0,2.184285714,53.2
1,1,2.184285714,53.2
1,2,2.184285714,53.23
1,3,2.184285714,53.24
1,4,2.184285714,53.41
1,5,2.184285714,53.47
1,6,2.184285714,53.64
1,7,2.184285714,53.59
1,8,2.184285714,53.8
1,9,2.184285714,53.92
1,10,2.184285714,54
1,11,2.184285714,54.24
1,12,2.181428571,54.15
1,13,2.181428571,54.06
1,14,2.178571429,54.21
1,15,2.178571429,54.21
1,16,2.178571429,54.21
1,17,2.178571429,54.21
