Date,Texas avg gas price,WTI Price
6/24/2019,2.311,57.73
7/1/2019,2.376,58.91
7/8/2019,2.44,57.35
7/15/2019,2.474,59.3
7/22/2019,2.501,55.87
7/29/2019,2.454,56.85
8/5/2019,2.415,54.63
8/12/2019,2.343,54.98
8/19/2019,2.285,56.24
8/26/2019,2.289,53.54
9/2/2019,2.239,55
9/9/2019,2.261,57.88
9/16/2019,2.242,63.1
9/23/2019,2.364,58.69
9/30/2019,2.319,54.09
10/7/2019,2.267,52.76
10/14/2019,2.236,53.57
10/21/2019,2.27,53.28
10/28/2019,2.226,55.6
11/4/2019,2.208,56.33
11/11/2019,2.259,56.61
